domain_id,institution_id,contact,source_id,driving_source_id,driving_variant_label,driving_experiment_id,status,estimated_completion_date,comments
AFR-12,ICTP,E. Coppola,RegCM5-0,ERA5,,evaluation,running,2025-12,#CORDEX-CORE
AFR-12,ICTP,E. Coppola,RegCM5-0,TBD,TBD,historical,planned,2025-12,#CORDEX-CORE
AFR-12,ICTP,E. Coppola,RegCM5-0,TBD,TBD,ssp370,planned,2025-12,#CORDEX-CORE
AFR-12,ICTP,E. Coppola,RegCM5-0,TBD2,TBD,historical,planned,2025-12,#CORDEX-CORE
AFR-12,ICTP,E. Coppola,RegCM5-0,TBD2,TBD,ssp370,planned,2025-12,#CORDEX-CORE
AFR-12,ICTP,E. Coppola,RegCM5-0,TBD3,TBD,historical,planned,2025-12,#CORDEX-CORE
AFR-12,ICTP,E. Coppola,RegCM5-0,TBD3,TBD,ssp370,planned,2025-12,#CORDEX-CORE
ANT-12,BAS,E. Gilbert / A. Orr,MetUM,ERA5,,evaluation,completed,2025-04,
ANT-12,DMI,R. Mottram / A. Torres,HCLIM43-ALADIN,ERA5,,evaluation,running,2024-04,
ANT-12,DMI,R. Mottram / A. Torres,HCLIM43-ALADIN,MPI-ESM1-2-LR,r1i1p1f1,historical,running,2024-08,
ANT-12,DMI,R. Mottram / A. Torres,HCLIM43-ALADIN,MPI-ESM1-2-LR,r1i1p1f1,ssp370,planned,2024-08,
ANT-12,DMI,R. Mottram / A. Torres,HCLIM43-ALADIN,CESM2,r11i1p1f1,historical,planned,2024-08,
ANT-12,DMI,R. Mottram / A. Torres,HCLIM43-ALADIN,CESM2,r11i1p1f1,ssp370,planned,2024-08,
ANT-12,ULiege,X. Fettweis / D. Maure,MAR3-13,ERA5,,evaluation,completed,2024-12,
ANT-12,ULiege,X. Fettweis / D. Maure,MAR3-13,CESM2,r11i1p1f1,historical,completed,2024-12,
ANT-12,ULiege,X. Fettweis / D. Maure,MAR3-13,CESM2,r11i1p1f1,ssp370,completed,2024-12,
ANT-12,ULiege,X. Fettweis / D. Maure,MAR3-13,MPI-ESM1-2-LR,r1i1p1f1,historical,completed,2024-12,
ANT-12,ULiege,X. Fettweis / D. Maure,MAR3-13,MPI-ESM1-2-LR,r1i1p1f1,ssp370,completed,2024-12,
ANT-12,UU-IMAU,W.J. van de Berg / C.T. van Dalum,RACMO24P,ERA5,,evaluation,completed,2023-12,
ANT-12,UU-IMAU,W.J. van de Berg / C.T. van Dalum,RACMO24P,CESM2,r11i1p1f1,historical,completed,2024-08,
ANT-12,UU-IMAU,W.J. van de Berg / C.T. van Dalum,RACMO24P,CESM2,r11i1p1f1,ssp370,completed,2024-12,
ANT-12,UU-IMAU,W.J. van de Berg / C.T. van Dalum,RACMO24P,MPI-ESM1-2-LR,r1i1p1f1,historical,completed,2024-08,
ANT-12,UU-IMAU,W.J. van de Berg / C.T. van Dalum,RACMO24P,MPI-ESM1-2-LR,r1i1p1f1,ssp370,completed,2024-12,
ARC-12,AWI,J. Landwehrs / A. Rinke,ICON-CLM-2-6-6-1-1,ERA5,,evaluation,completed,2024-04,
ARC-12,AWI,J. Landwehrs / A. Rinke,ICON-CLM-2-6-6-1-1,CNRM-ESM2-1,r1i1p1f2,historical,completed,2024-05,
ARC-12,AWI,J. Landwehrs / A. Rinke,ICON-CLM-2-6-6-1-1,CNRM-ESM2-1,r1i1p1f2,ssp370,completed,2024-09,
ARC-12,AWI,J. Landwehrs / A. Rinke,ICON-CLM-202401-1-1,NorESM2-MM,r1i1p1f1,historical,completed,2024-05,
ARC-12,AWI,J. Landwehrs / A. Rinke,ICON-CLM-202401-1-1,NorESM2-MM,r1i1p1f1,ssp370,completed,2024-09,
ARC-12,BAS,E. Gilbert / A. Orr,MetUM,ERA5,,evaluation,completed,2025-04,
ARC-12,HCLIMcom-METNo,O. Landgren,HCLIM43-ALADIN,ERA5,,evaluation,completed,2024-05,
ARC-12,HCLIMcom-METNo,O. Landgren,HCLIM43-ALADIN,NorESM2-MM,r1i1p1f1,historical,completed,2024-05,
ARC-12,HCLIMcom-METNo,O. Landgren,HCLIM43-ALADIN,NorESM2-MM,r1i1p1f1,ssp370,completed,2024-08,
ARC-12,HCLIMcom-METNo,O. Landgren,HCLIM43-ALADIN,CNRM-ESM2-1,r1i1p1f2,historical,completed,2024-05,
ARC-12,HCLIMcom-METNo,O. Landgren,HCLIM43-ALADIN,CNRM-ESM2-1,r1i1p1f2,ssp370,completed,2024-07,
