domain_id,institution_id,source_id,driving_source_id,driving_variant_label,driving_experiment_id,status,estimated_completion_date,data_node,n_datasets
AUS-25,IRD-MF,CNRM-ALADIN64P1,CNRM-ESM2-1,r1i1p1f2,historical,published,2026-08,esgf.ipsl.fr,362
AUS-25,IRD-MF,CNRM-ALADIN64P1,ERA5,,evaluation,published,2026-08,esgf.ipsl.fr,359
CAM-25,CNRM,CNRM-ALADIN64C1,ERA5,,evaluation,published,2026-07,esgf.ipsl.fr,379
CAM-25,CNRM,CNRM-ALADIN64C1,NorESM2-MM,r1i1p1f1,historical,published,2026-08,esgf.ipsl.fr,379
CAM-25,CNRM,CNRM-ALADIN64C1,NorESM2-MM,r1i1p1f1,ssp585,published,2026-08,esgf.ipsl.fr,379
EUR-12,CLMcom-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,r1i1p1f2,historical,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,r1i1p1f2,ssp126,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,r1i1p1f2,ssp245,published,2026-04,esgf1.dkrz.de,438
EUR-12,CLMcom-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,r1i1p1f2,ssp370,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-BTU,ICON-CLM-202407-1-1,CNRM-ESM2-1,r1i1p1f2,ssp585,published,2026-04,esgf1.dkrz.de,438
EUR-12,CLMcom-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,r1i1p1f1,historical,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,r1i1p1f1,ssp126,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,r1i1p1f1,ssp245,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,r1i1p1f1,ssp370,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-DWD,ICON-CLM-202407-1-1,MPI-ESM1-2-HR,r1i1p1f1,ssp585,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-DWD,ICON-CLM-202407-1-2,MPI-ESM1-2-HR,r1i1p1f1,ssp126,published,2026-04,esgf1.dkrz.de,292
EUR-12,CLMcom-ETH,ICON-CLM-202407-1-3,ERA5,,evaluation,published,2026-04,esgf1.dkrz.de,435
EUR-12,CLMcom-ETH,ICON-CLM-202407-1-3,NorESM2-MM,r1i1p1f1,historical,published,2026-04,esgf1.dkrz.de,435
EUR-12,CLMcom-GERICS,ICON-CLM-202407-1-1,EC-Earth3-Veg,r1i1p1f1,ssp126,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-GERICS,ICON-CLM-202407-1-1,EC-Earth3-Veg,r1i1p1f1,ssp370,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-Hereon,GCOAST-AHOIB1-1,ERA5,,evaluation,published,2026-04,esgf1.dkrz.de,472
EUR-12,CLMcom-Hereon,ICON-CLM-202407-1-1,EC-Earth3-Veg,r1i1p1f1,historical,published,2026-04,esgf1.dkrz.de,433
EUR-12,CLMcom-Hereon,ICON-CLM-202407-1-1,EC-Earth3-Veg,r1i1p1f1,ssp245,published,2026-04,esgf1.dkrz.de,438
EUR-12,CLMcom-Hereon,ICON-CLM-202407-1-1,EC-Earth3-Veg,r1i1p1f1,ssp585,published,2026-04,esgf1.dkrz.de,438
EUR-12,CLMcom-Hereon,ICON-CLM-202407-1-1,ERA5,,evaluation,published,2026-04,esgf1.dkrz.de,866
EUR-12,CLMcom-KIT,CCLM6-0-1,EC-Earth3-Veg,r1i1p1f1,historical,published,2026-04,esgf1.dkrz.de,409
EUR-12,CLMcom-KIT,CCLM6-0-1,EC-Earth3-Veg,r1i1p1f1,ssp126,published,2026-04,esgf1.dkrz.de,409
EUR-12,CLMcom-KIT,CCLM6-0-1,EC-Earth3-Veg,r1i1p1f1,ssp370,published,2026-04,esgf1.dkrz.de,409
EUR-12,CLMcom-KIT,CCLM6-0-1,MIROC6,r1i1p1f1,historical,published,2026-04,esgf1.dkrz.de,409
