domain,institution,driving_model,experiment,ensemble,model,model_version,status
AFR-22,CCCma,CCCma-CanESM2,historical,r1i1p1,CanRCM4,r2,published
AFR-22,CCCma,CCCma-CanESM2,rcp45,r1i1p1,CanRCM4,r2,published
AFR-22,CCCma,CCCma-CanESM2,rcp85,r1i1p1,CanRCM4,r2,published
AFR-22,CCCma,ECMWF-ERAINT,evaluation,r1i1p1,CanRCM4,r2,published
AFR-22,CLMcom-KIT,ECMWF-ERAINT,evaluation,r1i1p1,CCLM5-0-15,v1,published
AFR-22,CLMcom-KIT,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,v1,published
AFR-22,CLMcom-KIT,MOHC-HadGEM2-ES,rcp26,r1i1p1,CCLM5-0-15,v1,published
AFR-22,CLMcom-KIT,MOHC-HadGEM2-ES,rcp85,r1i1p1,CCLM5-0-15,v1,published
AFR-22,CLMcom-KIT,MPI-M-MPI-ESM-LR,historical,r1i1p1,CCLM5-0-15,v1,published
AFR-22,CLMcom-KIT,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,CCLM5-0-15,v1,published
AFR-22,CLMcom-KIT,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,CCLM5-0-15,v1,published
AFR-22,CLMcom-KIT,NCC-NorESM1-M,historical,r1i1p1,CCLM5-0-15,v1,published
AFR-22,CLMcom-KIT,NCC-NorESM1-M,rcp26,r1i1p1,CCLM5-0-15,v1,published
AFR-22,CLMcom-KIT,NCC-NorESM1-M,rcp85,r1i1p1,CCLM5-0-15,v1,published
AFR-22,GERICS,ECMWF-ERAINT,evaluation,r1i1p1,REMO2015,v1,published
AFR-22,GERICS,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,published
AFR-22,GERICS,MOHC-HadGEM2-ES,rcp26,r1i1p1,REMO2015,v1,published
AFR-22,GERICS,MOHC-HadGEM2-ES,rcp85,r1i1p1,REMO2015,v1,published
AFR-22,GERICS,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2015,v1,published
AFR-22,GERICS,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,REMO2015,v1,published
AFR-22,GERICS,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2015,v1,published
AFR-22,GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,published
AFR-22,GERICS,NCC-NorESM1-M,rcp26,r1i1p1,REMO2015,v1,published
AFR-22,GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,published
AFR-22,ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-7,v0,published
AFR-22,ICTP,MOHC-HadGEM2-ES,historical,r1i1p1,RegCM4-7,v0,published
AFR-22,ICTP,MOHC-HadGEM2-ES,rcp26,r1i1p1,RegCM4-7,v0,published
AFR-22,ICTP,MOHC-HadGEM2-ES,rcp85,r1i1p1,RegCM4-7,v0,published
AFR-22,ICTP,MPI-M-MPI-ESM-MR,historical,r1i1p1,RegCM4-7,v0,published
AFR-22,ICTP,MPI-M-MPI-ESM-MR,rcp26,r1i1p1,RegCM4-7,v0,published
AFR-22,ICTP,MPI-M-MPI-ESM-MR,rcp85,r1i1p1,RegCM4-7,v0,published
AFR-22,ICTP,NCC-NorESM1-M,historical,r1i1p1,RegCM4-7,v0,published
AFR-22,ICTP,NCC-NorESM1-M,rcp26,r1i1p1,RegCM4-7,v0,published
AFR-22,ICTP,NCC-NorESM1-M,rcp85,r1i1p1,RegCM4-7,v0,published
AFR-44,CCCma,CCCma-CanESM2,historical,r1i1p1,CanRCM4,r2,published
AFR-44,CCCma,CCCma-CanESM2,rcp45,r1i1p1,CanRCM4,r2,published
AFR-44,CCCma,CCCma-CanESM2,rcp85,r1i1p1,CanRCM4,r2,published
AFR-44,CCCma,ECMWF-ERAINT,evaluation,r1i1p1,CanRCM4,r2,published
AFR-44,CLMcom,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,ECMWF-ERAINT,evaluation,r1i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,ICHEC-EC-EARTH,historical,r12i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,ICHEC-EC-EARTH,rcp45,r12i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,MOHC-HadGEM2-ES,rcp45,r1i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,MOHC-HadGEM2-ES,rcp85,r1i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,MPI-M-MPI-ESM-LR,historical,r1i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,CCLM4-8-17,v1,published
AFR-44,CLMcom,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,CCLM4-8-17,v1,published
AFR-44,DMI,NCC-NorESM1-M,historical,r1i1p1,HIRHAM5,v1,published
AFR-44,DMI,NCC-NorESM1-M,rcp45,r1i1p1,HIRHAM5,v1,published
AFR-44,DMI,NCC-NorESM1-M,rcp85,r1i1p1,HIRHAM5,v1,published
AFR-44,DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v2,published
AFR-44,DMI,ICHEC-EC-EARTH,historical,r3i1p1,HIRHAM5,v2,published
AFR-44,DMI,ICHEC-EC-EARTH,rcp45,r3i1p1,HIRHAM5,v2,published
AFR-44,DMI,ICHEC-EC-EARTH,rcp85,r3i1p1,HIRHAM5,v2,published
AFR-44,GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2009,v1,published
AFR-44,GERICS,IPSL-IPSL-CM5A-LR,rcp26,r1i1p1,REMO2009,v1,published
AFR-44,GERICS,IPSL-IPSL-CM5A-LR,rcp85,r1i1p1,REMO2009,v1,published
AFR-44,GERICS,MIROC-MIROC5,historical,r1i1p1,REMO2009,v1,published
AFR-44,GERICS,MIROC-MIROC5,rcp26,r1i1p1,REMO2009,v1,published
AFR-44,GERICS,MIROC-MIROC5,rcp85,r1i1p1,REMO2009,v1,published
AFR-44,GERICS,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2009,v1,published
AFR-44,GERICS,MOHC-HadGEM2-ES,rcp26,r1i1p1,REMO2009,v1,published
AFR-44,GERICS,MOHC-HadGEM2-ES,rcp85,r1i1p1,REMO2009,v1,published
AFR-44,GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2009,v1,published
